Rank,Released,Movie,"DomesticBox Office","International Box Office","Worldwide Box Office"
1,2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225","$1,127,953,592","$2,064,615,817"
2,2019,Avengers: Endgame,"$858,373,000","$1,889,869,781","$2,748,242,781"
3,2018,Black Panther,"$700,059,566","$636,434,754","$1,336,494,320"
4,2018,Avengers: Infinity War,"$678,815,482","$1,369,544,272","$2,048,359,754"
5,2012,The Avengers,"$623,357,910","$891,742,301","$1,515,100,211"
6,2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382","$711,453,759","$1,331,635,141"
7,2018,Incredibles 2,"$608,581,744","$634,223,615","$1,242,805,359"
8,2019,The Lion King,"$543,638,043","$1,102,468,736","$1,646,106,779"
9,2016,Rogue One: A Star Wars Story,"$533,539,991","$521,543,605","$1,055,083,596"
10,2019,Star Wars: The Rise of Skywalker,"$515,202,542","$557,565,455","$1,072,767,997"
11,2017,Beauty and the Beast,"$504,014,165","$764,683,318","$1,268,697,483"
12,2016,Finding Dory,"$486,295,561","$538,710,564","$1,025,006,125"
13,2019,Frozen II,"$477,373,578","$974,279,738","$1,451,653,316"
14,2024,Inside Out 2,"$469,306,043","$545,500,000","$1,014,806,043"
15,2015,Avengers: Age of Ultron,"$459,005,868","$936,311,111","$1,395,316,979"
16,2022,Black Panther: Wakanda Forever,"$453,829,060","$400,156,486","$853,985,546"
17,2019,Toy Story 4,"$434,038,008","$638,779,956","$1,072,817,964"
18,2019,Captain Marvel,"$426,829,839","$702,746,255","$1,129,576,094"
19,2006,Pirates of the Caribbean: Dead Man’s Chest,"$423,315,812","$642,863,913","$1,066,179,725"
20,1994,The Lion King,"$421,785,283","$564,408,500","$986,193,783"
21,2010,Toy Story 3,"$415,004,880","$653,874,642","$1,068,879,522"
22,2022,Doctor Strange in the Multiverse of Madness,"$411,331,607","$540,893,379","$952,224,986"
23,2013,Iron Man 3,"$408,992,272","$806,400,000","$1,215,392,272"
24,2016,Captain America: Civil War,"$408,084,349","$743,815,237","$1,151,899,586"
25,2013,Frozen,"$400,953,009","$873,262,845","$1,274,215,854"
26,2017,Guardians of the Galaxy Vol 2,"$389,813,101","$479,274,862","$869,087,963"
27,2003,Finding Nemo,"$380,529,370","$555,565,482","$936,094,852"
28,2016,The Jungle Book,"$364,001,123","$589,534,698","$953,535,821"
29,2023,Guardians of the Galaxy Vol 3,"$358,995,815","$486,472,929","$845,468,744"
30,2015,Inside Out,"$356,461,711","$494,104,632","$850,566,343"
31,2019,Aladdin,"$355,559,216","$691,028,297","$1,046,587,513"
32,2022,Thor: Love and Thunder,"$343,256,830","$417,671,251","$760,928,081"
33,2016,Zootopia,"$341,268,248","$661,194,330","$1,002,462,578"
34,2010,Alice in Wonderland,"$334,191,110","$691,300,000","$1,025,491,110"
35,2014,Guardians of the Galaxy,"$333,714,112","$437,168,283","$770,882,395"
36,2017,Thor: Ragnarok,"$315,058,289","$535,424,489","$850,482,778"
37,2007,Pirates of the Caribbean: At World’s End,"$309,420,425","$651,576,067","$960,996,492"
38,2003,Pirates of the Caribbean: The Curse of the Blac…,"$305,410,819","$348,900,000","$654,310,819"
39,2023,The Little Mermaid,"$298,172,056","$270,172,992","$568,345,048"
40,1999,The Sixth Sense,"$293,506,292","$379,300,000","$672,806,292"
41,2009,Up,"$293,004,164","$438,459,213","$731,463,377"
42,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$291,710,957","$428,828,615","$720,539,572"
43,2001,"Monsters, Inc.","$290,149,425","$270,334,294","$560,483,719"
44,2013,Monsters University,"$268,488,329","$474,967,481","$743,455,810"
45,2004,The Incredibles,"$261,441,092","$370,000,000","$631,441,092"
46,2014,Captain America: The Winter Soldier,"$259,746,958","$454,654,931","$714,401,889"
47,2016,Moana,"$248,757,044","$438,471,864","$687,228,908"
48,1999,Toy Story 2,"$245,852,179","$265,506,097","$511,358,276"
49,2006,Cars,"$244,082,982","$217,547,576","$461,630,558"
50,2014,Maleficent,"$241,407,328","$517,129,407","$758,536,735"
51,2011,Pirates of the Caribbean: On Stranger Tides,"$241,071,802","$804,642,000","$1,045,713,802"
52,2012,Brave,"$237,282,182","$317,324,350","$554,606,532"
53,2013,Oz the Great and Powerful,"$234,770,996","$255,588,055","$490,359,051"
54,2016,Doctor Strange,"$232,641,920","$443,701,254","$676,343,174"
55,2002,Signs,"$227,969,295","$180,281,283","$408,250,578"
56,2021,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","$207,681,342","$432,224,634"
57,2008,WALL-E,"$223,808,164","$308,699,861","$532,508,025"
58,2014,Big Hero 6,"$222,527,828","$424,735,177","$647,263,005"
59,2007,National Treasure: Book of Secrets,"$219,961,501","$237,364,303","$457,325,804"
60,1992,Aladdin,"$217,350,219","$286,700,000","$504,050,219"
61,2018,Ant-Man and the Wasp,"$216,648,740","$406,495,920","$623,144,660"
62,2023,Ant-Man and the Wasp: Quantumania,"$214,506,909","$249,128,394","$463,635,303"
63,2018,Solo: A Star Wars Story,"$213,767,512","$179,383,835","$393,151,347"
64,2017,Coco,"$210,460,015","$585,941,706","$796,401,721"
65,2007,Ratatouille,"$206,445,654","$420,104,041","$626,549,695"
66,2013,Thor: The Dark World,"$206,362,140","$438,240,376","$644,602,516"
67,1991,Beauty and the Beast,"$206,333,165","$232,323,678","$438,656,843"
68,1998,Armageddon,"$201,578,182","$353,021,818","$554,600,000"
69,2015,Cinderella,"$201,151,353","$341,200,000","$542,351,353"
70,2018,Ralph Breaks The Internet,"$201,091,711","$328,199,119","$529,290,830"
71,2010,Tangled,"$200,821,936","$381,618,215","$582,440,151"
72,2001,Pearl Harbor,"$198,539,855","$250,699,998","$449,239,853"
73,1995,Toy Story,"$192,523,233","$172,747,718","$365,270,951"
74,2011,Cars 2,"$191,450,875","$368,704,508","$560,155,383"
75,2012,Wreck-It Ralph,"$189,412,677","$307,098,844","$496,511,521"
76,1937,Snow White and the Seven Dwarfs,"$184,925,486","$2,246,239","$187,171,725"
77,2021,Black Widow,"$183,651,655","$196,099,476","$379,751,131"
78,2012,Lincoln,"$182,207,973","$91,138,308","$273,346,281"
79,2015,Ant-Man,"$180,202,163","$338,656,286","$518,858,449"
80,1990,Pretty Woman,"$178,406,268","$254,160,093","$432,566,361"
81,2023,Indiana Jones and the Dial of Destiny,"$174,480,468","$209,482,589","$383,963,057"
82,2004,National Treasure,"$173,005,002","$158,318,408","$331,323,410"
83,2017,Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","$622,302,918","$794,861,794"
84,2010,Tron: Legacy,"$172,062,763","$227,803,436","$399,866,199"
85,2018,Mary Poppins Returns,"$171,958,438","$173,648,062","$345,606,500"
86,1999,Tarzan,"$171,091,819","$277,100,000","$448,191,819"
87,2011,The Help,"$169,705,587","$43,414,417","$213,120,004"
88,2007,Wild Hogs,"$168,213,584","$85,341,799","$253,555,383"
89,1987,3 Men and a Baby,"$167,780,960",,"$167,780,960"
90,2021,Eternals,"$164,870,264","$236,861,495","$401,731,759"
91,2009,The Proposal,"$163,958,031","$150,751,686","$314,709,717"
92,1998,A Bug’s Life,"$162,798,565","$200,296,754","$363,095,319"
93,1998,The Waterboy,"$161,491,646","$28,700,000","$190,191,646"
94,2023,Elemental,"$154,426,697","$330,403,040","$484,829,737"
95,1988,Who Framed Roger Rabbit?,"$154,112,492","$197,387,508","$351,500,000"
96,1961,101 Dalmatians,"$153,000,000","$302,565","$153,302,565"
97,2017,Cars 3,"$152,901,115","$230,640,254","$383,541,369"
98,2002,Lilo & Stitch,"$145,771,527","$100,028,470","$245,799,997"
99,1994,The Santa Clause,"$145,539,357","$44,966,643","$190,506,000"
100,1967,The Jungle Book,"$141,843,000",,"$141,843,000"
101,2008,The Chronicles of Narnia: Prince Caspian,"$141,621,490","$275,719,798","$417,341,288"
102,1995,Pocahontas,"$141,579,773","$205,520,227","$347,100,000"
103,1992,Sister Act,"$139,605,150","$91,994,850","$231,600,000"
104,2002,The Santa Clause 2,"$139,225,854","$33,618,738","$172,844,592"
105,2009,Disney’s A Christmas Carol,"$137,855,863","$177,853,834","$315,709,697"
106,2000,Dinosaur,"$137,748,063","$218,400,000","$356,148,063"
107,1996,Ransom,"$136,492,681","$172,207,319","$308,700,000"
108,1996,101 Dalmatians,"$136,189,294","$168,010,706","$304,200,000"
109,2005,Chicken Little,"$135,386,665","$174,657,158","$310,043,823"
110,1996,The Rock,"$134,069,511","$202,000,000","$336,069,511"
111,2003,Bringing Down the House,"$132,675,402","$32,000,000","$164,675,402"
112,1989,"Honey, I Shrunk the Kids","$130,724,172","$91,975,828","$222,700,000"
113,2014,Into the Woods,"$128,002,372","$84,413,945","$212,416,317"
114,2007,Enchanted,"$127,706,877","$212,677,264","$340,384,141"
115,2002,Sweet Home Alabama,"$127,214,072","$55,151,042","$182,365,114"
116,1987,Good Morning Vietnam,"$123,922,370",$212,"$123,922,582"
117,2015,The Good Dinosaur,"$123,087,120","$210,683,917","$333,771,037"
118,1998,Mulan,"$120,620,254","$182,879,746","$303,500,000"
119,2009,G-Force,"$119,436,770","$173,381,071","$292,817,841"
120,2022,Lightyear,"$118,307,188","$100,461,111","$218,768,299"
121,2021,Jungle Cruise,"$116,987,516","$93,482,287","$210,469,803"
122,2000,Remember the Titans,"$115,719,751","$21,051,932","$136,771,683"
123,2019,Dumbo,"$114,766,307","$238,400,000","$353,166,307"
124,2004,The Village,"$114,197,520","$143,444,114","$257,641,634"
125,2008,Bolt,"$114,053,579","$213,961,450","$328,015,029"
126,2019,Maleficent: Mistress of Evil,"$113,929,605","$375,251,752","$489,181,357"
127,2005,The Pacifier,"$113,006,880","$85,000,000","$198,006,880"
128,1998,Enemy of the State,"$111,549,836","$139,100,000","$250,649,836"
129,1989,The Little Mermaid,"$111,543,479","$110,724,135","$222,267,614"
130,2003,Freaky Friday,"$110,222,438","$50,600,000","$160,822,438"
131,2008,Bedtime Stories,"$110,101,975","$111,366,960","$221,468,935"
132,2001,The Princess Diaries,"$108,244,774","$57,090,000","$165,334,774"
133,1997,George Of The Jungle,"$105,263,257","$69,200,000","$174,463,257"
134,1996,Phenomenon,"$104,636,382","$47,400,000","$152,036,382"
135,2009,The Princess and the Frog,"$104,400,899","$166,596,479","$270,997,378"
136,1990,Dick Tracy,"$103,738,726","$59,000,000","$162,738,726"
137,1964,Mary Poppins,"$102,272,145","$26,569","$102,298,714"
138,2000,Gone in 60 Seconds,"$101,643,008","$131,000,000","$232,643,008"
139,1997,Con Air,"$101,117,573","$123,000,000","$224,117,573"
140,2018,A Wrinkle in Time,"$100,478,608","$32,735,941","$133,214,549"
141,1996,The Hunchback of Notre Dame,"$100,138,851","$225,361,149","$325,500,000"
142,2011,Gnomeo and Juliet,"$99,967,670","$93,770,307","$193,737,977"
143,2018,Christopher Robin,"$99,215,042","$98,529,335","$197,744,377"
144,1997,Hercules,"$99,112,101","$151,587,899","$250,700,000"
145,2007,Meet the Robinsons,"$97,822,171","$72,730,548","$170,552,719"
146,1999,Inspector Gadget,"$97,387,965",,"$97,387,965"
147,2021,Encanto,"$96,093,622","$134,932,673","$231,026,295"
148,1989,Dead Poets Society,"$95,860,116","$143,639,884","$239,500,000"
149,2004,The Princess Diaries 2: Royal Engagement,"$95,149,435","$39,564,000","$134,713,435"
150,2000,Unbreakable,"$94,999,143","$153,100,000","$248,099,143"
151,2008,Beverly Hills Chihuahua,"$94,514,402","$59,703,766","$154,218,168"
152,1955,Lady and the Tramp,"$93,600,000","$38,184","$93,638,184"
153,2015,Tomorrowland,"$93,436,322","$113,191,196","$206,627,518"
154,1997,Flubber,"$92,993,801","$85,000,000","$177,993,801"
155,1995,Crimson Tide,"$91,387,195","$68,000,000","$159,387,195"
156,2010,Prince of Persia: Sands of Time,"$90,759,676","$245,600,000","$336,359,676"
157,2007,The Game Plan,"$90,648,202","$55,942,785","$146,590,987"
158,2008,High School Musical 3: Senior Year,"$90,559,416","$183,833,464","$274,392,880"
159,2013,Disney Planes,"$90,282,580","$147,776,989","$238,059,569"
160,2005,Flightplan,"$89,706,988","$124,685,916","$214,392,904"
161,2000,The Emperor's New Groove,"$89,630,573","$80,000,000","$169,630,573"
162,1991,Father of the Bride,"$89,325,780",,"$89,325,780"
163,2013,The Lone Ranger,"$89,302,115","$170,700,000","$260,002,115"
164,2011,The Muppets,"$88,625,922","$72,346,000","$160,971,922"
165,1992,The Hand That Rocks the Cradle,"$88,036,683",$41,"$88,036,724"
166,1993,The Nightmare Before Christmas,"$87,607,116","$832,613","$88,439,729"
167,2021,Cruella,"$86,103,234","$139,706,829","$225,810,063"
168,2011,Real Steel,"$85,463,309","$178,417,032","$263,880,341"
169,2003,Brother Bear,"$85,336,277","$165,061,521","$250,397,798"
170,1950,Cinderella,"$85,000,000","$178,591,415","$263,591,415"
171,1995,Dangerous Minds,"$84,919,401","$94,000,000","$178,919,401"
172,2023,The Marvels,"$84,500,223","$115,206,027","$199,706,250"
173,2006,The Santa Clause 3: The Escape Clause,"$84,500,122","$23,000,000","$107,500,122"
174,1940,Pinocchio,"$84,300,000",,"$84,300,000"
175,2001,Atlantis: The Lost Empire,"$84,052,762","$101,996,258","$186,049,020"
176,1940,Fantasia,"$83,320,000",$832,"$83,320,832"
177,2013,Saving Mr. Banks,"$83,299,761","$31,662,764","$114,962,525"
178,1995,Mr. Holland’s Opus,"$82,582,604","$23,700,000","$106,282,604"
179,2007,Bridge to Terabithia,"$82,234,139","$55,750,649","$137,984,788"
180,2006,Eight Below,"$81,612,565","$38,843,429","$120,455,994"
181,2002,Snow Dogs,"$81,150,692","$35,747,336","$116,898,028"
182,1995,While You Were Sleeping,"$81,057,016","$101,000,000","$182,057,016"
183,2011,War Horse,"$79,883,359","$76,932,170","$156,815,529"
184,2009,Hannah Montana: The Movie,"$79,576,189","$89,597,017","$169,173,206"
185,1988,Cocktail,"$78,222,753",,"$78,222,753"
186,2016,Alice Through the Looking Glass,"$77,042,381","$199,885,731","$276,928,112"
187,1995,Father of the Bride Part II,"$76,578,911",,"$76,578,911"
188,2016,Pete’s Dragon,"$76,233,151","$61,535,824","$137,768,975"
189,2003,The Haunted Mansion,"$75,817,994","$79,932,634","$155,750,628"
190,2002,The Rookie,"$75,600,072","$4,891,444","$80,491,516"
191,1998,The Horse Whisperer,"$75,383,563","$111,500,000","$186,883,563"
192,2004,Ladder 49,"$74,541,707","$27,791,141","$102,332,848"
193,1998,"Six Days, Seven Nights","$74,339,294","$90,460,706","$164,800,000"
194,2012,John Carter,"$73,058,679","$209,719,421","$282,778,100"
195,2015,Bridge of Spies,"$72,313,754","$90,184,584","$162,498,338"
196,1986,Ruthless People,"$71,624,879",,"$71,624,879"
197,1990,3 Men and a Little Lady,"$71,609,321",,"$71,609,321"
198,1989,Turner & Hooch,"$71,079,915",,"$71,079,915"
199,2000,The Kid,"$69,688,384",,"$69,688,384"
200,1993,Cool Runnings,"$68,856,263","$86,152,646","$155,008,909"